CYBERSYN_COMPANY_ID,COMPANY_NAME,PERMID_SECURITY_ID,PRIMARY_TICKER,SECURITY_NAME,ASSET_CLASS,PRIMARY_EXCHANGE_CODE,PRIMARY_EXCHANGE_NAME,SECURITY_STATUS,GLOBAL_TICKERS,EXCHANGE_CODE,PERMID_QUOTE_ID,CIK,EIN,SIC,SIC_CODE_CATEGORY,SIC_CODE_DESCRIPTION
07e85915f5b12be5f0f3fe67276ffc08,"CELSIUS HOLDINGS, INC.",8589948642,CELH,CELSIUS HOLDINGS ORD SHS,Ordinary Shares,NAS,NASDAQ CAPITAL MARKET,Active,"[
  ""CELH""
]","[
  ""NAS""
]","[
  ""25727435733""
]",0001341766,202745790,2086,Office of Manufacturing,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
0ac135dfdf2b133215109ccc15754a62,CHURCH & DWIGHT CO INC /DE/,8590943794,CHD,CHURCH AND DWIGHT ORD SHS,Ordinary Shares,NYS,NEW YORK STOCK EXCHANGE,Active,"[
  ""0R13"",
  ""0R13l"",
  ""CHD"",
  ""CHD*"",
  ""CHD-RM""
]","[
  ""BCO"",
  ""LSE"",
  ""MCX"",
  ""MXQ"",
  ""NYS""
]","[
  ""21550585218"",
  ""21634298419"",
  ""21677303923"",
  ""21852711432"",
  ""55838320746""
]",0000313927,134996950,2840,Industrial Applications and Services,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS"
1443e2413b8a7cb8126ec02fb9096da6,GENERAL MILLS INC,8590933269,GIS,GENERAL MILLS ORD SHS,Ordinary Shares,NYS,NEW YORK STOCK EXCHANGE,Active,"[
  ""0R1X"",
  ""0R1Xl"",
  ""GIS"",
  ""GIS*"",
  ""GIS-RM"",
  ""GRMd""
]","[
  ""BCO"",
  ""BIV"",
  ""LSE"",
  ""MCX"",
  ""NYS""
]","[
  ""21550585154"",
  ""21634298003"",
  ""21656678438"",
  ""21818711862"",
  ""21845613719"",
  ""55838322560""
]",0000040704,410274440,2040,Office of Manufacturing,GRAIN MILL PRODUCTS
179bc1739f9a1d94e6073920e5be0343,KENVUE INC.,232802233964,KVUE,KENVUE ORD SHS,Ordinary Shares,NYS,NEW YORK STOCK EXCHANGE,Active,"[
  ""KVUE""
]","[
  ""NYS""
]","[
  ""236775751669""
]",0001944048,881032011,2844,Industrial Applications and Services,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
1de9a466e81121f5a1d365aa4fcdc3d3,"ENERGIZER HOLDINGS, INC.",21565461279,ENR,ENERGIZER HOLDINGS ORD SHS,Ordinary Shares,NYS,NEW YORK STOCK EXCHANGE,Active,"[
  ""ENR"",
  ""ENRn""
]","[
  ""BCO"",
  ""NYS""
]","[
  ""21565461280"",
  ""21641132727""
]",0001632790,364802442,3690,Office of Manufacturing,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES"
29ce63c9d570848ef91330a3fd2b77bb,PROCTER & GAMBLE CO,8590931320,PG,PROCTER & GAMBLE ORD SHS,Ordinary Shares,NYS,NEW YORK STOCK EXCHANGE,Active,"[
  ""0NOF"",
  ""0NOFl"",
  ""4852"",
  ""PG"",
  ""PG*"",
  ""PG-RM"",
  ""PGPp""
]","[
  ""BCO"",
  ""BIV"",
  ""LSE"",
  ""MCX"",
  ""NYS"",
  ""TYO""
]","[
  ""21475547047"",
  ""21531133279"",
  ""21629381720"",
  ""21656679516"",
  ""21718461396"",
  ""21783664298"",
  ""55838324876""
]",0000080424,310411980,2840,Industrial Applications and Services,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS"
30caef01abd1c761df6affc866f35181,J M SMUCKER CO,8590943672,SJM,JM SMUCKER ORD SHS,Ordinary Shares,NYS,NEW YORK STOCK EXCHANGE,Active,"[
  ""0L7F"",
  ""0L7Fl"",
  ""JM2"",
  ""SJM"",
  ""SJM*"",
  ""SJM-RM""
]","[
  ""BCO"",
  ""BIV"",
  ""DEU"",
  ""LSE"",
  ""MCX"",
  ""NYS""
]","[
  ""21474910398"",
  ""21633621382"",
  ""21634297972"",
  ""21852711713"",
  ""25727372413"",
  ""55838325634""
]",0000091419,340538550,2033,Office of Manufacturing,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES"
35c3db611e737058aa6bc650c01aedfb,KEURIG DR PEPPER INC.,8590937479,KDP,KEURIG DR PEPPER ORD SHS,Ordinary Shares,NSM,NASDAQ GLOBAL SELECT MARKET,Active,"[
  ""0ICR"",
  ""0Z62"",
  ""DP5"",
  ""DPSn"",
  ""KDP"",
  ""KDP-RM"",
  ""KDPn""
]","[
  ""BCO"",
  ""GER"",
  ""LSE"",
  ""MCX"",
  ""NSM"",
  ""TRQ""
]","[
  ""21633180182"",
  ""21647219625"",
  ""21656855777"",
  ""21846707421"",
  ""21858456545"",
  ""55837358435"",
  ""55840742913""
]",0001418135,753258232,2080,Office of Manufacturing,BEVERAGES
494a240627226a889eb035c7a6b9de00,CONAGRA BRANDS INC.,8590923004,CAG,CONAGRA BRANDS ORD SHS,Ordinary Shares,NYS,NEW YORK STOCK EXCHANGE,Active,"[
  ""0I2P"",
  ""0I2Pl"",
  ""CAG"",
  ""CAG-RM""
]","[
  ""BCO"",
  ""LSE"",
  ""MCX"",
  ""NYS""
]","[
  ""21633621468"",
  ""21634298017"",
  ""21845613678"",
  ""55838320498""
]",0000023217,470248710,2000,Office of Manufacturing,FOOD AND KINDRED PRODUCTS
5b31cbce443c8abefb3c2ff3111d7333,MONSTER BEVERAGE CORP,8590926396,MNST,MONSTER BEVERAGE ORD SHS,Ordinary Shares,NSM,NASDAQ GLOBAL SELECT MARKET,Active,"[
  ""0K34"",
  ""0K34l"",
  ""MNST"",
  ""MNST*"",
  ""MNST-RM"",
  ""MNSTn""
]","[
  ""BCO"",
  ""LSE"",
  ""MCX"",
  ""MEX"",
  ""NSM"",
  ""TRQ""
]","[
  ""21633621107"",
  ""21634298461"",
  ""21635232577"",
  ""21811939901"",
  ""21846707498"",
  ""55835328994""
]",0000865752,471809393,2086,Office of Manufacturing,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
